,x_ones,x_Mkt-RF,x_SMB,x_HML,x_RMW,x_CMA,y_exp_return
2020-02-14,1.0,0.15,-0.56,-0.66,-0.23,-0.3,1.424410070521182
2020-02-18,1.0,-0.19,-0.01,-0.65,-0.41,-0.67,2.850622630858219
2020-02-19,1.0,0.6,0.19,0.03,0.18,-0.24,3.5271379113992425
2020-02-20,1.0,-0.35,0.63,0.67,0.16,-0.05,-2.7734041186553475
2020-02-21,1.0,-1.12,-0.07,0.02,-0.23,0.38,-6.97300130360467
2020-02-24,1.0,-3.39,0.15,0.02,-0.35,0.22,-7.813807700304547
2020-02-25,1.0,-3.09,-0.35,-0.68,-0.62,-0.05,-3.161535974685075
2020-02-26,1.0,-0.52,-0.74,-1.2,-0.47,-0.18,-0.1741690495493604
2020-02-27,1.0,-4.22,0.71,0.05,-0.41,0.0,-7.333865306249337
2020-02-28,1.0,-0.78,0.09,-0.8,0.25,-0.5,3.334152866999513
2020-03-02,1.0,4.31,-1.91,-0.44,-0.52,0.42,4.347561042579912
2020-03-03,1.0,-2.79,0.68,-0.63,-0.44,0.33,-1.5019947285480335
2020-03-04,1.0,4.03,-1.23,-1.17,0.07,0.28,7.181167080965917
2020-03-05,1.0,-3.38,-0.14,-1.4,-0.88,0.05,-3.9972192688875134
2020-03-06,1.0,-1.78,-0.21,-1.49,0.69,0.34,0.9917126089103505
2020-03-09,1.0,-7.78,-1.33,-4.75,0.08,0.46,-10.954754225391532
2020-03-10,1.0,4.74,-2.39,0.81,0.52,0.06,4.870359112616968
2020-03-11,1.0,-5.05,-1.04,-0.8,0.03,0.09,0.6991557675018527
2020-03-12,1.0,-9.63,-1.08,-1.17,-0.34,-0.15,-14.644954769627766
2020-03-13,1.0,8.96,-2.03,3.03,1.19,0.36,12.529256125982608
2020-03-16,1.0,-12.0,-0.83,-0.76,0.48,1.38,-11.828328612783217
2020-03-17,1.0,5.88,0.46,-0.62,-0.55,-0.21,8.183103742226965
2020-03-18,1.0,-5.56,-4.55,-4.69,0.11,0.05,-6.596262812413728
2020-03-19,1.0,1.31,5.7,0.83,-1.35,-1.68,1.7833680522800714
2020-03-20,1.0,-4.15,0.22,-0.88,-0.97,-1.12,-0.5333708841839864
2020-03-23,1.0,-2.55,1.72,-3.27,0.3,-1.06,5.118965281536409
2020-03-24,1.0,9.34,-0.28,2.38,0.46,0.17,10.993043943774067
2020-03-25,1.0,1.18,-0.19,1.92,-0.06,0.24,-3.4460694733770163
2020-03-26,1.0,6.02,-0.51,1.07,-0.61,-0.02,6.424649480613981
2020-03-27,1.0,-3.48,-1.1,-0.76,-1.11,0.77,-1.942838250411188
2020-03-30,1.0,3.16,-0.77,-2.09,-0.27,-0.13,2.7419577693865667
2020-03-31,1.0,-1.44,1.52,-0.39,0.41,-0.05,-4.978839610872193
2020-04-01,1.0,-4.51,-1.99,-1.4,0.22,0.22,-4.001758384219034
2020-04-02,1.0,2.1,-0.98,-0.28,-0.26,0.81,1.9010577965081765
2020-04-03,1.0,-1.64,-1.38,-1.18,-0.22,0.37,-4.270625880417778
2020-04-06,1.0,7.06,1.18,0.32,1.28,-0.8,11.57548787864049
2020-04-07,1.0,-0.11,0.11,2.08,0.9,-0.34,0.0841770099789807
2020-04-08,1.0,3.4,0.85,1.28,0.45,-0.09,2.5862058593780324
2020-04-09,1.0,1.59,2.43,3.16,-0.87,-0.07,-0.8403358059409838
2020-04-13,1.0,-0.92,-1.45,-2.4,-0.49,0.04,5.291437581800529
2020-04-14,1.0,3.02,-0.72,-3.15,0.25,-0.33,7.832747911333371
2020-04-15,1.0,-2.15,-1.95,-2.55,-0.4,-0.21,0.10923242846834214
2020-04-16,1.0,0.62,-0.81,-2.98,-0.29,-0.3,3.5642826416573126
2020-04-17,1.0,2.72,1.51,2.77,-0.15,-0.02,-0.6145781986470533
2020-04-20,1.0,-1.56,0.38,-0.91,-1.75,-0.38,0.6537151175917577
2020-04-21,1.0,-3.08,0.93,0.16,0.26,0.41,-7.1090099437913
2020-04-22,1.0,2.31,-0.87,-1.64,0.11,0.04,5.6689344365103755
2020-04-23,1.0,0.13,1.25,0.54,0.52,-0.24,-0.03575937718379718
2020-04-24,1.0,1.44,0.24,-0.13,-0.18,0.15,0.5008922569836649
2020-04-27,1.0,1.73,2.15,2.71,-0.13,0.14,0.5518002342596251
2020-04-28,1.0,-0.45,1.72,2.85,1.34,0.73,-1.734826213161822
2020-04-29,1.0,2.92,2.31,2.0,1.23,-0.87,-3.332730192865907
2020-04-30,1.0,-1.18,-2.05,-1.7,0.65,-0.04,-2.36675449380368
2020-05-01,1.0,-2.91,-0.9,-0.97,-0.36,0.35,-4.790987499093468
2020-05-04,1.0,0.54,-0.12,-1.27,-0.76,-0.45,5.372895444641279
2020-05-05,1.0,0.95,-0.29,-2.02,-0.48,-0.51,-0.7039625892590884
2020-05-06,1.0,-0.52,0.1,-2.7,0.22,-0.57,-0.05747993885081293
2020-05-07,1.0,1.33,0.15,0.4,-0.1,-0.61,-0.4026056079121654
2020-05-08,1.0,1.9,1.9,2.46,0.84,0.42,2.3869063437129467
2020-05-11,1.0,0.07,-0.22,-3.78,-0.84,-0.04,4.794140097001898
2020-05-12,1.0,-2.06,-1.12,-1.35,-0.64,-0.02,-3.552212589362913
2020-05-13,1.0,-1.89,-1.43,-2.08,-0.08,-0.27,-2.9389844971862034
2020-05-14,1.0,1.14,-1.08,0.93,0.61,0.16,4.46530855256877
2020-05-15,1.0,0.57,1.34,-1.15,0.01,-0.77,-0.5686985289656277
2020-05-18,1.0,3.24,2.65,4.6,1.67,0.32,0.719556059333315
2020-05-19,1.0,-1.01,-0.75,-1.5,0.52,-0.59,1.6120188050109618
2020-05-20,1.0,1.8,1.21,1.32,-0.25,-0.26,1.6585508359461487
2020-05-21,1.0,-0.7,0.75,0.4,0.15,0.03,-3.0856497297443553
2020-05-22,1.0,0.27,0.26,-0.85,-0.55,-0.34,0.9515034374155906
2020-05-26,1.0,1.23,1.23,4.55,1.04,0.58,-3.5889063040622893
2020-05-27,1.0,1.54,1.43,3.62,0.77,0.36,-0.8460179730409356
2020-05-28,1.0,-0.41,-2.07,-2.43,-0.25,0.09,-1.8960939859209214
2020-05-29,1.0,0.6,-0.79,-1.98,-0.32,-0.38,3.9814408422237824
2020-06-01,1.0,0.52,0.26,0.43,-0.01,-0.14,-0.31598173114509853
2020-06-02,1.0,0.81,0.06,0.54,0.14,0.26,-0.16781680178149516
2020-06-03,1.0,1.42,0.77,2.62,0.74,0.17,-1.512890099813402
2020-06-04,1.0,-0.34,0.51,2.89,0.99,0.63,-0.18964247105861531
2020-06-05,1.0,2.5,1.07,2.76,0.72,0.04,0.8930218439432869
